Date	Day	Temps_min	Temps_max	Rain	Evap	Sun_hours	Max_wind_dir	Max_wind_spd	Max_wind_time	Temp_at_9am	RH_at_9am	CLD_at_9am	Wind_dir_at_9am	Wind_spd_at_9am	MSLP_at_9am	Temp_at_3pm	RH_at_3pm	CLD_at_3pm	Wind_dir_at_3pm	Wind_spd_at_3pm	MSLP_at_3pm
1	Sa	9.4	22.3	0	3.4	9.2	WNW	61	13:08	14.3	54	6	NW	15	1018.6	20.7	28	6	NW	28	1015.6
2	Su	14.3	24.7	0	5.4	7.8	WNW	43	21:16	16.9	51	5	WNW	9	1015.1	23.8	30	5	NW	20	1010.4
3	Mo	8.4	19.4	0	5.4	10.1	WSW	57	16:22	11.7	48	1	WNW	20	1015.2	19	29	1	WSW	17	1013.7
4	Tu	8.3	15.1	0	3.8	4.6	WSW	33	21:07	8.9	57	7	W	19	1023	14.4	42	4	SSE	2	1018.9
5	We	5	14.2	0	0.6	4.8	W	48	16:06	9.4	46	6	WNW	20	1014.5	13	46	6	WNW	19	1010.3
6	Th	6.8	16.4	0	3.8	8.5	WSW	37	11:07	9.5	53	3	WNW	22	1016.5	14.3	39	7	S	11	1016.7
7	Fr	6.7	18.5	0	2.8	10.1	WNW	33	9:00	10	60	1	W	26	1024	16.1	40	2	SSE	17	1021
8	Sa	7.9	17.5	0	2.6	8.9	SSW	33	10:43	11	63	5	WNW	19	1024.7	16.3	44	1	SSE	24	1022.5
9	Su	6.2	17.6	0	1.8	9.5	W	30	6:49	9.1	68	1	W	20	1024.8	16.3	56	1	E	13	1019.6
10	Mo	8.6	20.6	0	2.6	10.2	NNE	33	16:49	11.8	66	1	W	13	1017.7	18.8	41	1	E	20	1012.9
11	Tu	9.8	21	0	5	10.5	W	30	15:46	13.3	52	1	W	17	1014.6	20.4	27	1	WNW	9	1011.1
12	We	8.4	17.5	0	3.8	8.7	NW	74	12:32	11.1	54	1	W	19	1007.9	16.2	37	1	WNW	28	1004
13	Th	9.4	19.8	0	4.8	10.5	WSW	48	9:35	12.3	50	1	WSW	28	1014.9	19.3	23	1	SW	17	1014.7
14	Fr	7.9	20.4	0	4	10.5	WSW	30	10:20	11.8	55	1	W	15	1025.1	18	38	1	E	19	1023.4
15	Sa	8.2	18.1	0	3	7.3	W	30	0:07	12.4	63	3	WNW	20	1030.5	17	61	5	SSE	19	1028.8
16	Su	10.5	19.8	0	3	9.2	NW	28	20:40	14	70	5	W	13	1027.4	17.4	63	4	NE	15	1021.4
17	Mo	9.3	20.5	5.6	2.8	10.4	WSW	46	16:05	13.4	53	3	W	13	1017.1	20.4	29	1	NW	13	1013.3
18	Tu	10.9	16.2	0	4.4	10.4	SW	39	6:00	12.6	40	1	WSW	20	1020.8	14.7	46	2	SSE	19	1021
19	We	9	17	0	3.6	6.6	WNW	24	6:00	12.5	58	3	W	17	1027.2	16.4	54	6	E	13	1025
20	Th	8.2	18.9	0	2.6	9.8	NE	31	14:47	12.1	71	1	WNW	11	1028.3	18.7	59	1	NE	20	1025
21	Fr	9.4	21	0	3.8	9.4	NNE	31	16:28	13	73	0	WNW	13	1025.8	19.8	63	7	NE	15	1021.2
22	Sa	12.9	28.3	0	4.2	9.4	NNW	33	13:26	19.8	45	2	N	19	1021	26.9	32	5	N	11	1016.2
23	Su	15.4	18.5	2.4	6.4	0.2	NNW	22	0:14	15.6	85	7	N	7	1021.8	17.9	73	7	NNW	7	1018.4
24	Mo	15.1	17.4	4.2	1.8	0.6	E	59	20:38	16.3	90	8	S	17	1018.4	16.4	95	7	SSE	9	1015
25	Tu	12.5	19.9	54.4	5	4.4	NW	56	20:50	16.1	66	7	WNW	22	1013.4	18.7	53	7	W	20	1012.8
26	We	12.3	20.2	5.2	2.8	6.3	SSW	28	1:38	16.3	80	7	SSE	13	1018.1	18.9	59	7	S	13	1017.8
27	Th	11.6	20.5	0	3	4.3	W	52	18:12	15.1	87	7	W	9	1019.7	20.1	44	6	NW	17	1015.1
28	Fr	10.6	20.8	0	2.8	9.2	WSW	48	9:25	14.6	48	3	W	22	1019.8	18.5	43	5	S	20	1018.9
29	Sa	9	20.3	0	4.2	10.8	WSW	30	23:43	13	60	1	W	13	1022.7	20.1	31	2	WNW	15	1017.9
30	Su	8.3	18.7	0	3.6	10.8	SSW	39	16:29	12.1	52	1	WNW	20	1020.3	18.1	44	3	S	22	1017.5
31	Mo	9.6	19.7	0	4.8	10.9	SSE	35	15:13	13.9	48	1	WSW	15	1017.3	18.4	39	2	SSE	22	1013.8
